league_name,playoff_round,pick_number,manager,team_name,position,player_id,player_name,team_id,nhl_team_name,picked_at
Press Play-offs,1,1,nuttguy,56 Years and Counting,F,8478402,Connor McDavid,null,null,2026-04-17 18:31:51.924078+00
Press Play-offs,1,2,Tobi,Frozen Assets,F,8476453,Nikita Kucherov,null,null,2026-04-17 18:33:11.146609+00
Press Play-offs,1,3,paul.markhauser,Canadian Bloody Knucks,F,8477492,Nathan MacKinnon,null,null,2026-04-17 19:17:50.546728+00
Press Play-offs,1,4,connor.fehr,Rons team,F,8477934,Leon Draisaitl,null,null,2026-04-17 19:17:57.431651+00
Press Play-offs,1,5,connor.fehr,Rons team,F,8478864,Kirill Kaprizov,null,null,2026-04-17 19:18:11.146644+00
Press Play-offs,1,6,paul.markhauser,Canadian Bloody Knucks,F,8478420,Mikko Rantanen,null,null,2026-04-17 19:18:50.59691+00
Press Play-offs,1,7,Tobi,Frozen Assets,F,8480018,Nick Suzuki,null,null,2026-04-17 19:19:02.428375+00
Press Play-offs,1,8,nuttguy,56 Years and Counting,F,8480039,Martin Necas,null,null,2026-04-17 19:19:08.144227+00
Press Play-offs,1,9,nuttguy,56 Years and Counting,F,8477956,David Pastrnak,null,null,2026-04-17 19:19:13.220221+00
Press Play-offs,1,10,Tobi,Frozen Assets,F,8481540,Cole Caufield,null,null,2026-04-17 19:19:19.224406+00
Press Play-offs,1,11,paul.markhauser,Canadian Bloody Knucks,F,8478403,Jack Eichel,null,null,2026-04-17 19:19:25.030258+00
Press Play-offs,1,12,connor.fehr,Rons team,F,8480027,Jason Robertson,null,null,2026-04-17 19:19:30.020468+00
Press Play-offs,1,13,connor.fehr,Rons team,F,8478483,Mitch Marner,null,null,2026-04-17 19:19:35.675519+00
Press Play-offs,1,14,paul.markhauser,Canadian Bloody Knucks,F,8478427,Sebastian Aho,null,null,2026-04-17 19:19:40.450845+00
Press Play-offs,1,15,Tobi,Frozen Assets,F,8481557,Matt Boldy,null,null,2026-04-17 19:19:46.447335+00
Press Play-offs,1,16,nuttguy,56 Years and Counting,F,8482740,Wyatt Johnston,null,null,2026-04-17 19:19:51.368093+00
Press Play-offs,1,17,nuttguy,56 Years and Counting,D,8480803,Evan Bouchard,null,null,2026-04-17 19:29:06.538599+00
Press Play-offs,1,18,Tobi,Frozen Assets,F,8477404,Jake Guentzel,null,null,2026-04-17 19:29:17.34585+00
Press Play-offs,1,19,paul.markhauser,Canadian Bloody Knucks,D,8480036,Miro Heiskanen,null,null,2026-04-17 19:29:28.503582+00
Press Play-offs,1,20,connor.fehr,Rons team,D,8480069,Cale Makar,null,null,2026-04-17 19:29:53.0784+00
Press Play-offs,1,21,connor.fehr,Rons team,D,8480800,Quinn Hughes,null,null,2026-04-17 19:30:00.925117+00
Press Play-offs,1,22,paul.markhauser,Canadian Bloody Knucks,G,null,null,12,Carolina Hurricanes,2026-04-17 19:30:21.573224+00
Press Play-offs,1,23,Tobi,Frozen Assets,D,8479325,Charlie McAvoy,null,null,2026-04-17 19:30:31.128136+00
Press Play-offs,1,24,nuttguy,56 Years and Counting,D,8480839,Rasmus Dahlin,null,null,2026-04-17 19:30:37.405863+00
Press Play-offs,1,25,nuttguy,56 Years and Counting,D,8478178,Darren Raddysh,null,null,2026-04-17 19:30:42.215956+00
Press Play-offs,1,26,Tobi,Frozen Assets,G,null,null,22,Edmonton Oilers,2026-04-17 19:30:58.404549+00
Press Play-offs,1,27,paul.markhauser,Canadian Bloody Knucks,F,8478010,Brayden Point,null,null,2026-04-17 19:33:25.637702+00
Press Play-offs,1,28,connor.fehr,Rons team,F,8482116,Tim Stützle,null,null,2026-04-17 19:33:38.554095+00
Press Play-offs,1,29,connor.fehr,Rons team,D,8483457,Lane Hutson,null,null,2026-04-17 19:33:55.331903+00
Press Play-offs,1,30,paul.markhauser,Canadian Bloody Knucks,D,8477447,Shea Theodore,null,null,2026-04-17 19:34:05.700946+00
Press Play-offs,1,31,Tobi,Frozen Assets,D,8479410,Mikhail Sergachev,null,null,2026-04-17 19:34:18.312947+00
Press Play-offs,1,32,nuttguy,56 Years and Counting,G,null,null,21,Colorado Avalanche,2026-04-17 19:34:52.167312+00
Press Play-offs,1,33,nuttguy,56 Years and Counting,F,8479542,Brandon Hagel,null,null,2026-04-17 19:35:14.885367+00
Press Play-offs,1,34,Tobi,Frozen Assets,D,8480336,Sean Walker,null,null,2026-04-17 19:35:28.494841+00
Press Play-offs,1,35,paul.markhauser,Canadian Bloody Knucks,D,8475167,Victor Hedman,null,null,2026-04-17 19:35:38.844748+00
Press Play-offs,1,36,connor.fehr,Rons team,G,null,null,54,Vegas Golden Knights,2026-04-17 19:35:53.972002+00
Press Play-offs,1,37,connor.fehr,Rons team,IR_F,8479420,Tage Thompson,null,null,2026-04-17 19:36:01.283204+00
Press Play-offs,1,38,paul.markhauser,Canadian Bloody Knucks,IR_F,8483515,Juraj Slafkovský,null,null,2026-04-17 19:36:10.66321+00
Press Play-offs,1,39,Tobi,Frozen Assets,IR_F,8471675,Sidney Crosby,null,null,2026-04-17 19:36:16.774784+00
Press Play-offs,1,40,nuttguy,56 Years and Counting,IR_F,8478550,Artemi Panarin,null,null,2026-04-17 19:36:32.809926+00
Press Play-offs,1,41,nuttguy,56 Years and Counting,IR_D,8474578,Erik Karlsson,null,null,2026-04-17 19:36:40.098074+00
Press Play-offs,1,42,Tobi,Frozen Assets,IR_D,8478469,Thomas Chabot,null,null,2026-04-17 19:36:47.505041+00
Press Play-offs,1,43,paul.markhauser,Canadian Bloody Knucks,IR_D,8482671,Owen Power,null,null,2026-04-17 19:36:53.34639+00
Press Play-offs,1,44,connor.fehr,Rons team,IR_D,8482122,Brock Faber,null,null,2026-04-17 19:37:01.191563+00
Press Play-offs,2,1,paul.markhauser,Canadian Bloody Knucks,F,8480039,Martin Necas,null,null,2026-05-04 21:01:49.935711+00
Press Play-offs,2,2,Tobi,Frozen Assets,F,8477949,Alex Tuch,null,null,2026-05-04 21:02:01.473503+00
Press Play-offs,2,3,nuttguy,56 Years and Counting,F,8478864,Kirill Kaprizov,null,null,2026-05-04 21:02:09.036455+00
Press Play-offs,2,4,connor.fehr,Rons team,F,8477492,Nathan MacKinnon,null,null,2026-05-04 21:02:17.739225+00
Press Play-offs,2,5,connor.fehr,Rons team,F,8479420,Tage Thompson,null,null,2026-05-04 21:47:31.871212+00
